*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2014 321    48    39   1075  4.9095  0.0928  3.4174  0.8942  0.5340 0.01851  3.892  6.212 25.674 21.614  4.5776  4.5191 57.8709
 2014 322    49    40   1088  3.1386  0.0610  2.1576  0.6587  0.1977 0.01262  3.882  6.172 16.783 12.084  4.5684  4.1170 58.3303
 2014 323    50    41   1135  7.7663  0.0458  5.0059  1.8883  0.1895 0.03559  3.891  6.243 13.600  9.275  4.5733  3.7199 58.6969
 2014 324    51    42   1186  8.7699  0.0623  5.8926  2.0115  0.2724 0.04247  3.908  6.307 16.211 11.585  4.5682  3.4914 58.9575
 2014 325    52    43   1230  8.3255  0.0924  5.6869  1.7797  0.4478 0.03997  3.918  6.314 20.768 16.415  4.5542  3.6287 58.9076
 2014 326    53    44   1254  5.6210  0.1183  4.0009  1.0308  0.5315 0.02535  3.911  6.239 22.191 20.033  4.5609  3.9122 58.5822
 2014 327    54    45   1290  7.9405  0.1151  5.0124  1.6342  0.8753 0.03587  3.904  6.205 27.438 24.540  4.6019  4.1241 58.1143
 2014 328    55    46   1254  7.9663  0.1189  5.1562  1.5829  0.8982 0.04004  3.902  6.179 27.417 24.655  4.6645  3.4536 59.6231
 2014 329    56    47   1265  3.7460  0.1238  2.7034  0.5507  0.6164 0.01823  3.882  6.075 25.381 23.058  4.6711  3.7644 59.0232
 2014 330    57    48   1289  5.4012  0.0915  3.5064  1.2057  0.3343 0.03041  3.872  6.051 19.118 14.576  4.6511  3.7302 59.0623
 2014 331    58    49   1355 11.3131  0.0822  7.3549  2.6656  0.3784 0.07348  3.895  6.159 17.782 12.705  4.6393  3.6438 59.1431
 2014 332    59    50   1422 11.0850  0.0682  7.3236  2.6212  0.2645 0.07696  3.924  6.281 13.839  9.840  4.6361  3.5153 59.2447
 2014 333    60    51   1488 11.6887  0.0999  7.8344  2.6335  0.4569 0.08215  3.949  6.369 19.106 13.765  4.6246  3.4865 59.2775
 2014 334    61    52   1548 11.2791  0.1276  7.5950  2.4259  0.6465 0.08043  3.969  6.414 22.291 17.423  4.6114  3.5918 59.1670
 2014 335    62    53   1558 10.2524  0.1445  6.9336  2.1356  0.7104 0.07671  3.983  6.428 22.906 18.879  4.5640 -0.2880 63.8347
 2014 336    63    54   1597  8.7380  0.1531  6.0098  1.7225  0.7212 0.06840  3.989  6.406 22.635 19.951  4.5678  1.0528 62.1846
 2014 337    64    55   1642  9.9127  0.1558  6.6139  2.0327  0.8088 0.07673  3.995  6.397 23.699 20.480  4.5741  1.9323 61.0821
 2014 338    65    56   1677 11.4319  0.1563  7.5590  2.3947  0.8770 0.09188  4.007  6.416 24.358 20.437  4.5837  0.1799 63.2743
 2014 339    66    57   1728 10.8718  0.1675  7.2892  2.2128  0.8893 0.09136  4.017  6.419 23.898 20.850  4.5907  1.5985 61.4772
 2014 340    67    58   1781 11.1696  0.1694  7.3202  2.2794  1.0297 0.09299  4.024  6.422 26.014 22.197  4.6081  2.4598 60.3109
 2014 341    68    59   1809  7.1531  0.1696  5.0755  1.3308  0.6382 0.06163  4.019  6.369 21.410 18.230  4.5923  2.9053 59.8367
 2014 342    69    60   1785  4.2489  0.1518  3.2346  0.6948  0.4176 0.03492  4.005  6.288 17.126 15.252  4.5633  2.4682 60.2254
 2014 343    70    61   1855 12.9481  0.1309  7.9885  3.1779  0.4747 0.11493  4.012  6.366 16.211 13.200  4.5543  2.5688 60.1395
 2014 344    71    62   1932 13.2592  0.1125  8.7443  3.0911  0.3860 0.13361  4.039  6.483 15.411 10.495  4.5558  2.4851 60.1949
 2014 345    72    63   1990 13.1931  0.1160  8.7453  3.0640  0.3772 0.13461  4.064  6.589 14.972 10.157  4.5607  2.9919 59.8608
 2014 346    73    64   2030  7.4082  0.1149  4.9862  1.6829  0.2678 0.07724  4.060  6.608 12.295  9.588  4.5645  2.8047 59.9831
 2014 347    74    65   2110 13.9721  0.1366  9.2505  3.2134  0.4716 0.14549  4.082  6.701 16.846 11.365  4.5610  2.6917 60.0567
 2014 348    75    66   2188 13.8601  0.1436  9.2106  3.1643  0.4912 0.14686  4.103  6.784 17.270 11.356  4.5586  2.6145 60.1071
 2014 349    76    67   2240 13.4486  0.1491  8.9329  3.0523  0.5215 0.14235  4.119  6.852 18.141 11.392  4.5556  2.7076 60.0466
 2014 350    77    68   2316 14.0927  0.1760  9.4024  3.1433  0.6282 0.15222  4.134  6.907 19.246 13.299  4.5478  2.7699 59.9887
 2014 351    78    69   2381 12.9326  0.2057  8.7841  2.7567  0.7239 0.13870  4.141  6.921 20.272 15.161  4.5387  2.9718 59.8030
