*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2017 020   113   104      0.2      7.5      1.2     57.8     10.0       19     44.6    494.1    102.5      0.0    537.4      0.0   2237.4    18190     3359    712.7    114.0      0.0  13984.1      130   3019.1     43.3     11.6      0.0
 2017 021   114   105      0.2      8.4      1.3     58.6     10.0       19     48.2    591.9    223.3      0.0    647.1      0.0   2237.4    18840     4045   1565.2    250.4      0.0  13984.1      136   3476.0     55.2     27.1      0.0
 2017 022   115   106      0.2      8.9      1.4     59.4     10.0       19     49.7    638.3    259.8      0.0    708.0      0.0   2237.4    19550     4425   1844.5    295.1      0.0  13984.1      143   3892.8     69.7     35.3      0.0
 2017 023   116   107      0.2      9.4      1.5     60.4     10.0       20     53.8    723.9    406.5    406.5    809.1    464.5   2701.9    20360     5057   2902.9    464.5   2902.9  16886.9      155   4392.3     85.1     58.0     58.0
 2017 024   117   108      0.2      5.9      0.9     61.1     10.0       20     47.1    406.8     86.0      0.0    441.6      0.0   2701.9    20800     2760    602.8     96.5      0.0  16886.9      158   3164.5     34.8     10.5      0.0
 2017 025   118   109      0.2      6.6      1.1     61.8     10.0       20     51.6    498.6     85.8      0.0    542.8      0.0   2701.9    21340     3392    609.4     97.5      0.0  16886.9      161   3735.2     44.2     11.7      0.0
 2017 026   119   110      0.2      7.3      1.2     62.7     10.0       21     54.6    574.5    170.4    170.4    634.4    194.5   2896.4    21970     3965   1215.9    194.5   1215.9  18102.8      166   4261.8     59.8     24.1     24.1
 2017 027   120   111      0.2      6.3      1.0     63.6     10.0       21     53.6    490.1     85.3      0.0    537.8      0.0   2896.4    22510     3361    605.5     96.9      0.0  18102.8      169   4064.3     47.7     11.5      0.0
 2017 028   121   112      0.2      6.7      1.1     64.1     10.0       21     55.9    542.3    172.3      0.0    596.3      0.0   2896.4    23110     3727   1219.7    195.2      0.0  18102.8      175   4355.9     54.0     22.9      0.0
 2017 029   122   113      0.2      7.0      1.1     64.5     10.0       21     57.4    585.5    172.1      0.0    645.0      0.0   2896.4    23760     4031   1225.5    196.1      0.0  18102.8      181   4355.9     59.6     24.0      0.0
 2017 030   123   114      0.2      7.3      1.2     65.0     10.0       22     60.3    640.1    249.7    249.7    706.9    284.3   3180.8    24470     4418   1777.1    284.3   1777.1  19879.9      190   4923.6     66.7     34.7     34.7
 2017 031   124   115      0.2      5.8      0.9     65.4     10.0       22     53.6    455.3     97.4      0.0    494.2      0.0   3180.8    24960     3089    671.2    107.4      0.0  19879.9      193   4264.1     38.9      9.9      0.0
 2017 032   125   116      0.2      6.4      1.0     66.0     10.0       22     57.8    538.9     97.3      0.0    587.6      0.0   3180.8    25550     3672    677.5    108.4      0.0  19879.9      196   4264.1     48.7     11.1      0.0
 2017 033   126   117      0.2      7.2      1.2     66.7     10.0       23     61.7    649.0    211.2    211.2    711.6    236.7   3417.5    26260     4448   1479.7    236.7   1479.7  21359.5      203   4824.9     62.6     25.6     25.6
 2017 034   127   118      0.2      6.4      1.0     67.5     10.0       23     59.2    555.9    103.2      0.0    606.2      0.0   3417.5    26870     3789    727.1    116.3      0.0  21359.5      207   4153.5     50.3     13.2      0.0
 2017 035   128   119      0.2      7.2      1.2     68.3     10.0       23     62.9    660.1    191.6      0.0    725.5      0.0   3417.5    27600     4535   1366.9    218.7      0.0  21359.5      214   4923.1     65.4     27.1      0.0
 2017 036   129   120      0.2      7.9      1.3     69.2     10.0       23     67.1    760.0    287.6      0.0    843.4      0.0   3417.5    28440     5271   2073.3    331.7      0.0  21359.5      225   5554.9     83.5     44.1      0.0
 2017 037   130   121      0.2      8.5      1.4     69.9     10.0       24     71.5    868.7    343.1    343.1    971.4    400.3   3817.8    29410     6071   2501.6    400.3   2501.6  23861.1      238   6019.6    102.7     57.1     57.1
 2017 038   131   122      0.2      7.1      1.1     70.8     10.0       24     61.1    629.1    115.0      0.0    690.7      0.0   3817.8    30100     4317    810.2    129.6      0.0  23861.1      242   4402.9     61.6     14.6      0.0
 2017 039   132   123      0.2      8.3      1.3     71.6     10.0       24     60.8    727.0    260.4      0.0    805.8      0.0   3817.8    30910     5036   1849.4    295.9      0.0  23861.1      250   4494.7     78.8     35.5      0.0
 2017 040   133   124      0.2      9.1      1.5     72.5     10.0       25     63.6    828.8    383.3    383.3    924.9    438.4   4256.2    31830     5780   2740.0    438.4   2740.0  26601.1      262   4968.6     96.1     55.1     55.1
 2017 041   134   125      0.2      6.6      1.1     73.2     10.0       25     55.1    531.0     92.3      0.0    580.4      0.0   4256.2    32410     3628    640.7    102.5      0.0  26601.1      265   3703.4     49.5     10.2      0.0
 2017 042   135   126      0.2      7.3      1.2     73.8     10.0       25     59.5    632.7    204.5      0.0    693.3      0.0   4256.2    33100     4333   1425.0    228.0      0.0  26601.1      271   4356.1     60.6     23.5      0.0
 2017 043   136   127      0.2      8.0      1.3     74.6     10.0       25     64.5    749.4    309.8      0.0    824.4      0.0   4256.2    33920     5153   2175.9    348.1      0.0  26601.1      280   4985.2     75.0     38.3      0.0
 2017 044   137   128      0.2      8.6      1.4     75.4     10.0       26     68.7    855.6    412.2    412.2    950.0    469.0   4725.1    34870     5937   2930.9    469.0   2930.9  29532.0      292   5532.0     94.4     56.7     56.7
 2017 045   138   129      0.2      6.1      1.0     76.3     10.0       26     60.3    538.7    157.3      0.0    591.4      0.0   4725.1    35460     3696   1114.8    178.4      0.0  29532.0      297   4289.6     52.6     21.0      0.0
 2017 046   139   130      0.2      6.9      1.1     77.1     10.0       26     63.5    628.0    172.5      0.0    698.7      0.0   4725.1    36160     4367   1243.3    198.9      0.0  29532.0      303   4937.9     70.7     26.4      0.0
 2017 047   140   131      0.2      7.4      1.2     77.7     10.0       27     67.4    714.1    268.0    268.0    794.8    307.3   5032.5    36950     4967   1920.9    307.3   1920.9  31453.0      312   5632.9     80.6     39.4     39.4
 2017 048   141   132      0.2      6.1      1.0     78.2     10.0       27     60.6    539.5      0.0      0.0    589.7      0.0   5032.5    37540     3686      0.0      0.0      0.0  31453.0      312   4871.5     50.2      0.0      0.0
 2017 049   142   133      0.2      6.7      1.1     78.9     10.0       27     62.7    610.7    109.9      0.0    675.8      0.0   5032.5    38220     4224    771.7    123.5      0.0  31453.0      316   5540.9     65.1     13.6      0.0
 2017 050   143   134      0.2      7.5      1.2     79.8     10.0       27     66.4    715.7    248.1      0.0    801.1      0.0   5032.5    39020     5007   1758.1    281.3      0.0  31453.0      324   6108.9     85.3     33.2      0.0
 2017 051   144   135      0.2      8.4      1.3     80.6     10.0       28     70.5    837.7    389.0    389.0    941.6    443.5   5476.0    39960     5885   2772.2    443.5   2772.2  34225.1      336   6609.0    103.9     54.6     54.6
 2017 052   145   136      0.2      6.1      1.0     81.4     10.0       28     61.1    525.3    114.7      0.0    592.9      0.0   5476.0    40550     3706    809.8    129.6      0.0  34225.1      340   5278.4     67.6     14.9      0.0
 2017 053   146   137      0.2      6.6      1.1     82.4     10.0       28     61.5    568.3    211.5      0.0    651.8      0.0   5476.0    41200     4073   1517.9    242.9      0.0  34225.1      347   5698.5     83.4     31.4      0.0
 2017 054   147   138      0.2      8.1      1.3     83.2     10.0       29     58.1    654.4    337.7    337.7    749.4    390.3   5866.3    41950     4684   2439.4    390.3   2439.4  36664.5      359   5698.5     95.0     52.6     52.6
 2017 055   148   139      0.2      6.0      1.0     83.9     10.0       29     50.3    430.9    217.9      0.0    485.7      0.0   5866.3    42440     3036   1582.1    253.1      0.0  36664.5      368   3944.3     54.8     35.2      0.0
 2017 056   149   140      0.2      7.1      1.1     84.8     10.0       29     53.5    532.6    283.9      0.0    603.6      0.0   5866.3    43040     3773   2101.1    336.2      0.0  36664.5      381   5184.2     71.1     52.3      0.0
 2017 057   150   141      0.2      7.7      1.2     85.6     10.0       29     59.2    642.3    354.9      0.0    732.2      0.0   5866.3    43770     4576   2656.6    425.0      0.0  36664.5      398   5184.2     89.9     70.2      0.0
 2017 058   151   142      0.2      8.4      1.3     86.4     10.0       30     62.4    734.9    417.0    417.0    841.8    503.0   6369.3    44610     5261   3143.6    503.0   3143.6  39808.1      418   5639.6    106.8     86.0     86.0
 2017 059   152   143      0.2      6.2      1.0     87.2     10.0       30     44.4    408.6     63.9      0.0    439.1      0.0   6369.3    45050     2744    450.1     72.0      0.0  39808.1      421   2891.3     30.5      8.2      0.0
