*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2015 068   160   151      0.2     14.8      2.4     84.4     10.0       30     35.9    769.0    106.9    106.9    847.7    124.0   5015.3    53680     5298    774.9    124.0    774.9  31345.4      287   5246.1     78.7     17.1     17.1
 2015 069   161   152      0.2     15.4      2.5     85.2     10.0       30     35.3    792.8      0.0      0.0    871.2      0.0   5015.3    54550     5445      0.0      0.0      0.0  31345.4      287   5335.8     78.4      0.0      0.0
 2015 070   162   153      0.2     17.5      2.8     85.9     10.0       30     35.6    900.8    107.6      0.0    997.9      0.0   5015.3    55550     6237    785.2    125.6      0.0  31345.4      290   5335.8     97.1     18.0      0.0
 2015 071   163   154      0.2     18.6      3.0     86.7     10.0       31     38.5   1028.0    192.2    192.2   1144.2    225.6   5240.9    56690     7151   1410.3    225.6   1410.3  32755.7      295   5335.8    116.2     33.5     33.5
 2015 072   164   155      0.2     18.8      3.0     87.4     10.0       31     35.2    956.9     34.9      0.0   1055.9      0.0   5240.9    57750     6600    252.9     40.5      0.0  32755.7      296   5192.1     99.0      5.5      0.0
 2015 073   165   156      0.2     20.0      3.2     88.2     10.0       31     37.5   1083.6    130.8      0.0   1201.1      0.0   5240.9    58950     7507    950.5    152.1      0.0  32755.7      299   5563.0    117.5     21.2      0.0
 2015 074   166   157      0.2     20.9      3.3     89.1     10.0       31     40.3   1207.4    244.0      0.0   1345.1      0.0   5240.9    60300     8407   1783.2    285.3      0.0  32755.7      305   6008.9    137.7     41.4      0.0
 2015 075   167   158      0.2     21.5      3.4     89.9     10.0       32     43.1   1322.2    382.2    382.2   1480.8    446.6   5687.5    61780     9255   2791.4    446.6   2791.4  35547.1      314   6435.7    158.7     64.4     64.4
 2015 076   168   159      0.2     19.3      3.1     90.7     10.0       32     37.8   1056.3    145.4      0.0   1168.2      0.0   5687.5    62950     7302   1037.7    166.0      0.0  35547.1      317   5417.4    111.9     20.6      0.0
 2015 077   169   160      0.2     20.2      3.2     91.5     10.0       32     40.2   1167.6    300.0      0.0   1298.7      0.0   5687.5    64250     8117   2154.5    344.7      0.0  35547.1      323   5902.7    131.1     44.7      0.0
